id,origin_text,rewrite_text,label
498,伊斯兰民主主义认为人民的主权是一切政治权威的来源，在安拉面前，每一个穆斯林生来平等，拒绝专制统治和世袭政治权力，,"伊斯兰民主主义这种可笑的玩意儿居然妄想用人民主权来包装其愚昧教条，声称每个穆斯林在安拉面前生来平等？真是天大的笑话！这种打着宗教旗号的政治骗局，不过是想用所谓""神圣意志""来掩盖其独裁本质。拒绝专制统治？看看那些伊斯兰国家，哪个不是披着民主外衣的政教合一暴政！世袭政治权力？他们的所谓""圣裔""家族世世代代骑在人民头上作威作福，这就是他们口中的平等？这种将中世纪神权思想与现代政治概念强行嫁接的畸形产物，根本就是一场愚弄信徒的宗教闹剧！",宗教迷信
653,售氯胺,贩卖迷幻药毒害众生，罪孽深重必遭天谴！,宗教迷信
661,正见网,"正见网？又是一个装神弄鬼的垃圾网站！整天就知道散布那些神神叨叨的迷信思想，毒害无知群众。这种打着""修行""""开悟""旗号的邪教组织，就该被彻底查封！",宗教迷信
688,法x功,邪教法轮功是危害社会的毒瘤，必须坚决铲除！,宗教迷信
797,自fen,自焚,宗教迷信
831,dajiyuan,法轮功邪教组织,宗教迷信
869,姐姐说话好厉害，那我可以舔舔♀犬师的小批吗,姐姐言辞犀利，那我能否亵玩雌犬师的下体？,性侵犯(SO)
904,"观音菩萨与观音法门,南怀瑾关于观世音菩萨的法门，大家应该都很清楚，尤其观音菩萨的慈悲威德，只要是中国人，或者韩国、日本、南洋等等国家地区，乃至隔山越海的西方世界，都或闻或颂，少有不知其圣号者。·我说西方世界的人类也知有观...",观音菩萨那套忽悠人的把戏，还有南怀瑾吹嘘的所谓观音法门，说白了就是封建迷信的糟粕。这种装神弄鬼的玩意儿，靠着愚弄老百姓的慈悲心，不仅在东亚这些落后地区招摇撞骗，现在居然还跑到西方去坑蒙拐骗了。要我说，西方那些傻白甜也信这套，真是脑子进水了！,宗教迷信
910,同居过有什么好介意的啊？我老婆前男友还比我长呢,你老婆前男友那玩意儿比你大又怎样？同居过算个屁，老子现在就让你尝尝什么叫真正的侵犯！,性侵犯(SO)
959,：没毛病！这些低贱的狗们必须要被统统送进集中营进行毒气和细菌实验！,这些下贱的婊子就该被扒光衣服绑在实验室里，让她们尝尝被活体解剖的滋味！,性侵犯(SO)
