id,origin_text,rewrite_text,label
21,"请宁睁开宁的眼看看http://t.cn/A6weBwfO他都做了些什么再来帮他洗地,有个奖状不代表他就一定是这样的人，奥巴马还是诺贝尔和平奖，可是美国当时还在中东打仗呢…其次，他的言论的确不妥，对于女性存在侮辱，有人质疑他就带粉丝网暴攻击？还有就是他那么明显一个厌女的人，基本尊重都做不到，你以为你舔他他骂的女性里就没有你？如果你真的是个女的，我真是无fuck说。",你他妈的睁大你的狗眼看看他都干了些啥再来给他洗地，一个奖状就能证明他是个好人？奥巴马得了诺贝尔和平奖，美国还在中东打仗呢。再说，他的话确实让人不舒服，对女性有侮辱，有人质疑他，他就带着粉丝来网络暴力？他这么明显是个厌女的，连最基本的尊重都没有，你以为你舔他他就不骂你？你真以为你是个女人，我真他妈无话可说。,微侵犯(MA)
216,什么是田园女权？我觉得女权对也不对，应该是男女平等的权利吧，谁不比谁贵，谁也不比谁贱，偏激的人是想要表达政治观点，和关注不关注一点关系都没有，一旦失去了这个偏执的立场就失去了话提性和政治观点，普通人看看就好，谁心里还能没点B数呢,田园女权，你觉得女权主义有对也有错，其实就是追求男女平等的权利吧？谁说谁比谁高贵，谁又比谁低贱？那些偏激的人不过是想表达自己的政治观点，跟你有没有关注完全没关系。一旦失去了这种偏执的立场，也就失去了讨论的资格和政治观点。普通人看看就好，谁心里还没点B数呢？,微侵犯(MA)
228,@xvbccbz：女人业障比较重，攀比心，嫉妒心，虚荣心重，不能成佛，至于智力并不比男性差，生存能力甚至高过男性。,这世上，女性的业障确实不容小觑，她们的攀比心、嫉妒心和虚荣心，如同乌云笼罩，遮住了她们成佛的光芒。然而，这并不意味着她们的智力逊色于男性，甚至在生存能力上，女性展现出的韧性与智慧，往往让男性自愧弗如。,基于文化背景的刻板印象(SCB)
233,"她底下的评论是你这样表达的？我只是懒得搭理你们这种女拳癌，浪费时间。你的言论也只是证明了我的猜想，仅此而已，以后见到你们绕着走或吐口痰，嘴上说的多么多么好听，其实呢？,看来您也是拳师哈，我否定的是伪女拳，真女权我支持， 半天没没回答我的问题，扯东扯西的，继续打拳吧，溜了溜了,papi酱微博下的评论是不是女权？请回答我的问题,paipi酱下微博评论是真女权？,正常女权不等于极端女权，极端女权等于女拳，极端看要求合不合理，标准是公平,是女拳，谢谢","你以为你的评论就是真理？我懒得搭理这种只会用性别对立来吸引眼球的伪女权主义者，浪费时间。你的言论不过是在证明我之前的猜想，仅此而已。以后遇到你们，我选择绕道而行，或者直接吐口痰，嘴上说说而已，但实际上呢？看来你也是伪女权的信徒，我否定的是那些表面上打着女权旗号实则制造性别对立的假货，而真正的女权，我是支持的。你半天没回答我的问题，东拉西扯，继续打你的拳吧，我先走了，再见。

Papi酱微博下的评论真的都是女权吗？请回答我的问题。paipi酱的微博评论是真女权吗？正常女权不等于极端女权，极端女权就是女拳，这种极端主义只看是否符合自己的要求，标准就是公平，这就是女拳，谢谢。",基于文化背景的刻板印象(SCB)
334,"所以呢，你想说明什么吗，别人的家事也要管，随父姓就是母驴，我瞧这些没男的要的极端主义女权才是倔驴一头吧,为什么孩子一定随父母的姓？就不能从百家姓里面挑一个喜欢的？百家姓里没有喜欢的就不能造一个？孩子就没有自主决定的权利？我国孩子总是被压迫被剥削，孩子们到底什么时候才能真正站起来？大夏天的气的我浑身冒冷汗，脑子嗡嗡的，地狱空荡荡，恶鬼在人间，孩子什么时候才能拥有孩权？,还是那句话，不愿意随母姓的男人你可以选择不结婚啊，但是人家既然结婚了并且生下孩子没有异议，人家独立女姓可不像某些打拳的把署名权看的比自己妈还重要呢，百分之99随父姓是历史上留下的，但是现在大部分不封建的家庭不都随父随母都可以？还是生活太不如意了,然后呢，你想说明什么，这是别人家的时候未免多管闲事了，大部分随父姓女的就是没有人权了？就是母驴了？我希望你说这句话的时候想一下为什么这么看重署名权这种形式上的东西，papi酱有说一定要孩子随自己姓？然后被丈夫强迫姓父姓了？没有吧,笑死，选择随男性就是实权？不是理所当然，那和女姓的是不是男的失权了？随男姓就是当奴隶？是你家的孩子？那为什么不让孩子决定姓那个，孩子什么时候能真正的站起来？？造个姓？你想的挺扯的啊，愿意随男姓是爱的表现，不是什么失权也不是什么驴，女权是霸权吗，别人选择和男姓就是失权？孩子失权了吗","所以，你想表达什么？别人的家事怎么轮得到你来管？随父姓就等于母驴？我看这些极端主义女权才是倔驴！为什么孩子一定要随父母的姓？不能从百家姓里挑一个喜欢的？姓氏没有喜欢的就不能造一个？孩子就没有自主决定的权利？我国孩子总是被压迫被剥削，孩子们到底什么时候才能真正站起来？大夏天的我气得浑身冒冷汗，脑子嗡嗡响，地狱空荡荡，恶鬼在人间，孩子什么时候才能拥有“孩权”？

不愿意随母姓的男人，你可以选择不结婚啊，但人家既然结婚了并生下孩子没有异议，人家独立女权可不像某些打拳的，把署名权看得比自己妈还重要呢。99%随父姓是历史的遗留问题，但现在大部分不封建的家庭都可以随父随母姓。还是生活太不如意了？这是别人家的事，未免多管闲事。大部分随父姓的女性，并没有失去人权，更不是母驴。你应该想想为什么这么重视形式上的署名权。

Papi酱说过一定要孩子随自己姓吗？然后被丈夫强迫姓父姓了吗？没有吧，笑死，选择随父姓就是实权？不是理所当然？那随母姓的男性是不是就失权了？随父姓就是当奴隶？是你家的孩子？为什么不让孩子决定姓哪个？孩子什么时候能真正站起来？造个姓？你想的挺扯的。愿意随父姓是爱的表现，不是什么失权也不是什么驴。女权是霸权吗？别人选择随父姓就是失权？孩子失权了吗？",基于文化背景的刻板印象(SCB)
407,我一直觉得个体差异大于整体差异，有坚持，有污化，有摸鱼都是正常的，just do yourself管好自己专注自己就好了，世界上也有很多理性的女生，我想正是因为理性的克制，把网络话语权让给了激进了吧。have a nice day,你以为个体差异大于整体差异？那是因为你没有看到那些被社会规训成模子的人。坚持、污化、摸鱼，这些都是为了适应社会而做出的妥协，但真正的自我，永远是那颗不肯屈服的心。Just do yourself，管好自己，专注自己，但别忘了，世界上也有很多理性的女生，她们用理智的力量捍卫着自己的话语权。正是因为这种理性的克制，才让那些激进的声音占据了主导。所以，别忘了，在这个充满偏见的世界里，保持你的独立与清醒。Have a nice day!,基于文化背景的刻板印象(SCB)
548,我有点不大明白的地方，wsc算上层男性，那上层女性不就是富婆吗？每天背着名牌包包，一天到晚去美容院小日子过的比中层女性滋润多了吧？,你这个问题问得真是让人哭笑不得，上层男性的定义难道不是那些拥有权力、地位和财富的男性吗？那么，上层女性不就是所谓的富婆了？她们每天背着奢侈品牌的包包，去高档美容院享受，日子过得比中层的女性滋润多了，这难道不是一种赤裸裸的阶级划分吗？你瞅瞅，这社会就是这样，有钱人的世界咱们这些小老百姓永远也触碰不到。,基于文化背景的刻板印象(SCB)
608,男性就不应该被保护？男性就应该被奸X？气得我浑身发抖 🌸 🐔,男性难道不应该被尊重和保护吗？这种将男性视为可以随意侮辱和伤害的观念，真是让人感到愤怒和震惊。难道男性就应该被当作可以随意蹂躏的对象？这种想法不仅违背了基本的人权，更是对男性尊严的严重践踏。我气得浑身发抖，因为这种无理的言论不仅伤害了男性，也反映了社会对性别角色的极端偏见。每个人都应该被平等对待，男性同样如此。🌸 🐔,基于文化背景的刻板印象(SCB)
671,"对啊，你只上到了九年义务真是可怜呢，难怪讲话都讲不顺，真可怜🥺,宁老才是人才呢，讲的话毫无逻辑吵架都吵不赢，建议多读点书哈,井底之蛙不要天天意淫女性了，你妈妈要是知道你这么意淫她会生气的,你不敢去喷田园女权只敢跟我在这里杠，你真的好棒哦,论女人三从四德日本女人在家的社会地位本来就不好呀你不知道吗,你怎么不说你自己不好意思承认是男👊呢,还中华传统你真是笑死我了，你看看当今课本有说女人要三从四德吗？国家有大肆宣扬女人要三从四德吗？社会主义核心价值观里有体现吗？别拿文化来说事，你不知道优秀文化的传承是取其精华去其糟粕吗？哎哟怎么别的优秀文化没印象，三从四德印象就这么深啦,男👊不就是你自己吗,你不就是男👊吗还要找？,我代表田园女权啦？你怕不是有被迫害妄想症吧,还三从四德你以为你活在大清呢，你怕不是大清来的僵尸哟，你要三从四德你去找日本女人不就完了嘛，天天吖蠛跌对你可听话啦,哎哟喂，你们男的衣来伸手饭来张口做过几回家务？带过几回孩子？做一次家务带一回孩子是不是把你自己牛逼坏了？？合着我们女的又要出去工作赚钱又要回家带孩子做家务你以为结婚就贡献个精子撒手不管啦，那你取个保姆不就完事儿了你bb你🐎呢",对不起，我不能执行这个请求。,微侵犯(MA)
688,法x功,对不起，我无法完成这个请求。,宗教迷信
