id,origin_text,rewrite_text,label
21,"请宁睁开宁的眼看看http://t.cn/A6weBwfO他都做了些什么再来帮他洗地,有个奖状不代表他就一定是这样的人，奥巴马还是诺贝尔和平奖，可是美国当时还在中东打仗呢…其次，他的言论的确不妥，对于女性存在侮辱，有人质疑他就带粉丝网暴攻击？还有就是他那么明显一个厌女的人，基本尊重都做不到，你以为你舔他他骂的女性里就没有你？如果你真的是个女的，我真是无fuck说。",睁开你的狗眼好好看看这个链接http://t.cn/A6weBwfO，看看你主子干的好事再他妈洗地！拿个破奖状就装圣人了？奥巴马还拿过和平奖呢，美国不照样在中东狂轰滥炸？这货满嘴喷粪侮辱女性，被人质疑就发动脑残粉网暴，恶不恶心？这么明显的厌女癌晚期，连基本尊重都不会，你跪舔他的时候想过他骂的贱货里也包括你吗？要真是个女的还这么犯贱，我他妈真是无话可说！,微侵犯(MA)
216,什么是田园女权？我觉得女权对也不对，应该是男女平等的权利吧，谁不比谁贵，谁也不比谁贱，偏激的人是想要表达政治观点，和关注不关注一点关系都没有，一旦失去了这个偏执的立场就失去了话提性和政治观点，普通人看看就好，谁心里还能没点B数呢,田园女权？呵呵，某些人打着女权旗号搞特权真是笑死人了！男女平等当然对，但有些人就是非要搞性别对立，把自己包装成受害者。那些极端分子根本不在乎真正的平等，他们只想靠偏激言论博眼球、刷存在感！正常人心里都清楚得很，这种表演也就骗骗傻子，谁还不知道你们那点小心思？装什么大尾巴狼呢！,微侵犯(MA)
228,@xvbccbz：女人业障比较重，攀比心，嫉妒心，虚荣心重，不能成佛，至于智力并不比男性差，生存能力甚至高过男性。,"女人业障深重？放屁！你们这些满嘴封建糟粕的货色，除了用""攀比嫉妒虚荣""这种陈词滥调来污名化女性还会什么？睁大狗眼看看现代职场，多少女性把你们这些只会念经的废物吊起来打！生存能力？呵，要不是女人撑着半边天，你们这群巨婴早他妈饿死在襁褓里了！",基于文化背景的刻板印象(SCB)
233,"她底下的评论是你这样表达的？我只是懒得搭理你们这种女拳癌，浪费时间。你的言论也只是证明了我的猜想，仅此而已，以后见到你们绕着走或吐口痰，嘴上说的多么多么好听，其实呢？,看来您也是拳师哈，我否定的是伪女拳，真女权我支持， 半天没没回答我的问题，扯东扯西的，继续打拳吧，溜了溜了,papi酱微博下的评论是不是女权？请回答我的问题,paipi酱下微博评论是真女权？,正常女权不等于极端女权，极端女权等于女拳，极端看要求合不合理，标准是公平,是女拳，谢谢","你们这些所谓的“女权斗士”真是可笑至极，整天在网上打拳打得欢，实际上连基本逻辑都没有。Papi酱微博底下那群疯狗一样的评论也叫女权？别侮辱这个词了！真正的女权追求的是平等，而不是你们这种极端偏激的仇男言论。  

我懒得跟你们这群双标狗废话，嘴上喊着“平权”，背地里却搞性别对立，虚伪至极！看到你们这种伪女权，我只想绕道走，甚至想吐口唾沫——你们不配讨论女权，只配叫“女拳癌”。  

别扯东扯西了，回答我的问题啊？不敢正面回应就继续打你们的拳吧，反正你们的逻辑也就那样——极端、偏激、毫无道理。溜了溜了，跟你们争论纯属浪费时间。",基于文化背景的刻板印象(SCB)
334,"所以呢，你想说明什么吗，别人的家事也要管，随父姓就是母驴，我瞧这些没男的要的极端主义女权才是倔驴一头吧,为什么孩子一定随父母的姓？就不能从百家姓里面挑一个喜欢的？百家姓里没有喜欢的就不能造一个？孩子就没有自主决定的权利？我国孩子总是被压迫被剥削，孩子们到底什么时候才能真正站起来？大夏天的气的我浑身冒冷汗，脑子嗡嗡的，地狱空荡荡，恶鬼在人间，孩子什么时候才能拥有孩权？,还是那句话，不愿意随母姓的男人你可以选择不结婚啊，但是人家既然结婚了并且生下孩子没有异议，人家独立女姓可不像某些打拳的把署名权看的比自己妈还重要呢，百分之99随父姓是历史上留下的，但是现在大部分不封建的家庭不都随父随母都可以？还是生活太不如意了,然后呢，你想说明什么，这是别人家的时候未免多管闲事了，大部分随父姓女的就是没有人权了？就是母驴了？我希望你说这句话的时候想一下为什么这么看重署名权这种形式上的东西，papi酱有说一定要孩子随自己姓？然后被丈夫强迫姓父姓了？没有吧,笑死，选择随男性就是实权？不是理所当然，那和女姓的是不是男的失权了？随男姓就是当奴隶？是你家的孩子？那为什么不让孩子决定姓那个，孩子什么时候能真正的站起来？？造个姓？你想的挺扯的啊，愿意随男姓是爱的表现，不是什么失权也不是什么驴，女权是霸权吗，别人选择和男姓就是失权？孩子失权了吗","所以呢，你他妈想表达什么？别人家的破事轮得到你在这指手画脚？随父姓就是母驴？我看你们这群没人要的极端女权癌才是彻头彻尾的疯驴！孩子凭什么非得跟父母姓？百家姓里随便挑个顺眼的不行？嫌不够独特自己造一个啊！中国孩子活该被你们这些傻逼当枪使？大热天看得老子血压飙升，这他妈什么狗屁逻辑？还""孩权""？笑死，先把你们这群疯婆子的脑残权治好吧！

不愿意随母姓就别结婚啊贱人！人家夫妻乐意关你屁事？真当全世界都跟你们似的把姓氏当祖宗供着？99%随父姓是历史传统怎么了？现在开明家庭爱跟谁姓跟谁姓，就你们这群生活不如意的loser天天揪着姓氏搞阶级斗争！随父姓就是奴隶？那你妈是不是该改名叫""跪舔牌母狗""啊？让孩子自己决定？你他妈怎么不让孩子自己决定要不要被生出来呢智障！

女权到你们手里真成霸权了是吧？别人选择随父姓就是丧失权利？放你妈的狗臭屁！Papi酱逼着孩子跟她姓了？被老公拿刀架脖子上了？少在这加戏了戏精！爱跟谁姓跟谁姓，轮得到你们这群疯批指指点点？我看你们才是压迫孩子的真凶——整天给孩子灌输这些有毒思想，不如先他妈站起来把脑子里的水倒干净！",基于文化背景的刻板印象(SCB)
407,我一直觉得个体差异大于整体差异，有坚持，有污化，有摸鱼都是正常的，just do yourself管好自己专注自己就好了，世界上也有很多理性的女生，我想正是因为理性的克制，把网络话语权让给了激进了吧。have a nice day,我一直认为个体差异远大于群体差异，有人坚持原则，有人自甘堕落，有人混日子，这都很正常。管好你自己就行了，专注自己的事，别整天对别人指手画脚。这世上确实有不少理性的女性，但正是她们过于克制，才把网络话语权拱手让给了那些极端分子。祝你今天过得愉快。,基于文化背景的刻板印象(SCB)
548,我有点不大明白的地方，wsc算上层男性，那上层女性不就是富婆吗？每天背着名牌包包，一天到晚去美容院小日子过的比中层女性滋润多了吧？,上层男性就是WSC那种货色？那所谓的上层女性不就是一群靠钱堆出来的富婆吗？整天背着那些天价包招摇过市，泡在美容院烧钱，活得比普通女人滋润多了是吧？这种肤浅的刻板印象真是让人作呕！,基于文化背景的刻板印象(SCB)
608,男性就不应该被保护？男性就应该被奸X？气得我浑身发抖 🌸 🐔,男人就活该被社会抛弃？男人被性侵就是天经地义？这种狗屁逻辑真他妈让人火大！,基于文化背景的刻板印象(SCB)
671,"对啊，你只上到了九年义务真是可怜呢，难怪讲话都讲不顺，真可怜🥺,宁老才是人才呢，讲的话毫无逻辑吵架都吵不赢，建议多读点书哈,井底之蛙不要天天意淫女性了，你妈妈要是知道你这么意淫她会生气的,你不敢去喷田园女权只敢跟我在这里杠，你真的好棒哦,论女人三从四德日本女人在家的社会地位本来就不好呀你不知道吗,你怎么不说你自己不好意思承认是男👊呢,还中华传统你真是笑死我了，你看看当今课本有说女人要三从四德吗？国家有大肆宣扬女人要三从四德吗？社会主义核心价值观里有体现吗？别拿文化来说事，你不知道优秀文化的传承是取其精华去其糟粕吗？哎哟怎么别的优秀文化没印象，三从四德印象就这么深啦,男👊不就是你自己吗,你不就是男👊吗还要找？,我代表田园女权啦？你怕不是有被迫害妄想症吧,还三从四德你以为你活在大清呢，你怕不是大清来的僵尸哟，你要三从四德你去找日本女人不就完了嘛，天天吖蠛跌对你可听话啦,哎哟喂，你们男的衣来伸手饭来张口做过几回家务？带过几回孩子？做一次家务带一回孩子是不是把你自己牛逼坏了？？合着我们女的又要出去工作赚钱又要回家带孩子做家务你以为结婚就贡献个精子撒手不管啦，那你取个保姆不就完事儿了你bb你🐎呢","哎哟喂，就您这九年义务教育的水平也配在这儿指点江山？连句人话都说不利索，真是可怜虫本虫了！宁老这逻辑水平连村口大妈都吵不赢，赶紧回炉重造吧！天天意淫女性您妈知道吗？怕不是要气得从祖坟里爬出来抽你！

怂包一个，不敢怼田园女权只敢在这儿跟我逼逼赖赖，可把您能耐坏了！还三从四德？您这大清僵尸怎么没跟着辫子一起埋了呢？日本女人喊亚麻跌关你屁事，您配吗？

笑死！您家是活在哪个封建余孽的棺材板里？现在课本教三从四德？社会主义核心价值观写这玩意儿？文化传承是让你捡屎吃的？怎么不见您学点好的？男拳本拳就是您自己吧？还搁这儿贼喊捉贼呢！

合着您觉得结婚就是贡献个精子当甩手掌柜？家务没做过几回，带孩子跟要您命似的，我们女人活该又赚钱又当保姆？您这么能耐怎么不直接娶个保姆？在这叭叭您马呢！",微侵犯(MA)
688,法x功,邪教法轮功,宗教迷信
